#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Host Connected,Stopped,End of File
1,09-02-2022 13:27:05,38.05,4254.72,,,
2,09-02-2022 13:27:28,,,Logged,,
3,09-02-2022 13:27:43,,,Logged,,
4,09-02-2022 14:27:05,15.96,17228.80,,,
5,09-02-2022 15:27:05,16.64,16204.80,,,
6,09-02-2022 16:27:05,15.53,612.64,,,
7,09-02-2022 17:27:05,16.47,481.44,,,
8,09-02-2022 18:27:05,17.16,364.32,,,
9,09-02-2022 19:27:05,17.72,182.96,,,
10,09-02-2022 20:27:05,17.89,7.82,,,
11,09-02-2022 21:27:05,17.80,0.00,,,
12,09-02-2022 22:27:05,17.37,0.00,,,
13,09-02-2022 23:27:05,16.94,0.00,,,
14,09-03-2022 00:27:05,16.56,0.21,,,
15,09-03-2022 01:27:05,16.26,0.00,,,
16,09-03-2022 02:27:05,15.74,0.00,,,
17,09-03-2022 03:27:05,15.23,0.00,,,
18,09-03-2022 04:27:05,14.75,0.00,,,
19,09-03-2022 05:27:05,14.41,0.00,,,
20,09-03-2022 06:27:05,13.90,2.96,,,
21,09-03-2022 07:27:05,13.55,163.44,,,
22,09-03-2022 08:27:05,13.47,518.40,,,
23,09-03-2022 09:27:05,13.47,844.80,,,
24,09-03-2022 10:27:05,13.55,923.20,,,
25,09-03-2022 11:27:05,14.28,1159.36,,,
26,09-03-2022 12:27:05,16.30,1715.84,,,
27,09-03-2022 13:27:05,17.63,1720.32,,,
28,09-03-2022 14:27:05,18.10,2168.32,,,
29,09-03-2022 15:27:05,18.44,5040.64,,,
30,09-03-2022 16:27:05,17.97,1179.84,,,
31,09-03-2022 17:27:05,18.44,693.76,,,
32,09-03-2022 18:27:05,19.35,335.68,,,
33,09-03-2022 19:27:05,19.82,73.20,,,
34,09-03-2022 20:27:05,19.60,1.69,,,
35,09-03-2022 21:27:05,19.22,0.00,,,
36,09-03-2022 22:27:05,18.79,0.00,,,
37,09-03-2022 23:27:05,18.19,0.00,,,
38,09-04-2022 00:27:05,17.80,0.00,,,
39,09-04-2022 01:27:05,17.50,0.00,,,
40,09-04-2022 02:27:05,17.29,0.00,,,
41,09-04-2022 03:27:05,17.07,0.00,,,
42,09-04-2022 04:27:05,16.86,0.21,,,
43,09-04-2022 05:27:05,16.77,0.00,,,
44,09-04-2022 06:27:05,16.69,0.21,,,
45,09-04-2022 07:27:05,16.73,26.87,,,
46,09-04-2022 08:27:05,16.94,104.92,,,
47,09-04-2022 09:27:05,17.24,143.12,,,
48,09-04-2022 10:27:05,17.80,256.64,,,
49,09-04-2022 11:27:05,18.40,231.20,,,
50,09-04-2022 12:27:05,18.83,225.92,,,
51,09-04-2022 13:27:05,19.56,257.44,,,
52,09-04-2022 14:27:05,20.12,589.92,,,
53,09-04-2022 15:27:05,20.59,633.44,,,
54,09-04-2022 16:27:05,20.72,139.00,,,
55,09-04-2022 17:27:05,20.85,101.32,,,
56,09-04-2022 18:27:05,20.85,58.86,,,
57,09-04-2022 19:27:05,20.37,7.61,,,
58,09-04-2022 20:27:05,19.73,0.21,,,
59,09-04-2022 21:27:05,19.26,0.00,,,
60,09-04-2022 22:27:05,18.87,0.00,,,
61,09-04-2022 23:27:05,18.49,0.00,,,
62,09-05-2022 00:27:05,18.23,0.00,,,
63,09-05-2022 01:27:05,18.06,0.00,,,
64,09-05-2022 02:27:05,17.80,0.00,,,
65,09-05-2022 03:27:05,17.63,0.00,,,
66,09-05-2022 04:27:05,17.54,0.00,,,
67,09-05-2022 05:27:05,17.29,0.00,,,
68,09-05-2022 06:27:05,17.16,0.00,,,
69,09-05-2022 07:27:05,17.03,13.17,,,
70,09-05-2022 08:27:05,16.99,32.00,,,
71,09-05-2022 09:27:05,16.94,47.28,,,
72,09-05-2022 10:27:05,16.94,24.46,,,
73,09-05-2022 11:27:05,16.51,27.71,,,
74,09-05-2022 12:27:05,16.13,1.69,,,
75,09-05-2022 13:27:05,16.21,23.48,,,
76,09-05-2022 14:27:05,15.87,7.00,,,
77,09-05-2022 15:27:05,16.21,11.69,,,
78,09-05-2022 16:27:05,16.81,17.43,,,
79,09-05-2022 17:27:05,17.20,16.58,,,
80,09-05-2022 18:27:05,17.37,26.39,,,
81,09-05-2022 19:27:05,17.33,6.77,,,
82,09-05-2022 20:27:05,17.11,0.00,,,
83,09-05-2022 21:27:05,16.64,0.00,,,
84,09-05-2022 22:27:05,16.39,0.00,,,
85,09-05-2022 23:27:05,16.17,0.00,,,
86,09-06-2022 00:27:05,16.00,0.00,,,
87,09-06-2022 01:27:05,15.78,0.00,,,
88,09-06-2022 02:27:05,15.57,0.00,,,
89,09-06-2022 03:27:05,15.27,0.00,,,
90,09-06-2022 04:27:05,14.97,0.00,,,
91,09-06-2022 05:27:05,14.63,0.00,,,
92,09-06-2022 06:27:05,14.37,0.00,,,
93,09-06-2022 07:27:05,14.11,2.96,,,
94,09-06-2022 08:27:05,13.98,5.28,,,
95,09-06-2022 09:27:05,13.94,5.92,,,
96,09-06-2022 10:27:05,14.50,20.84,,,
97,09-06-2022 11:27:05,14.93,37.02,,,
98,09-06-2022 12:27:05,15.53,22.74,,,
99,09-06-2022 13:27:05,16.17,30.68,,,
100,09-06-2022 14:27:05,16.69,340.32,,,
101,09-06-2022 15:27:05,16.99,118.56,,,
102,09-06-2022 16:27:05,17.03,35.86,,,
103,09-06-2022 17:27:05,16.99,26.02,,,
104,09-06-2022 17:59:19,,,Logged,,
105,09-06-2022 17:59:41,,,,Logged,Logged
