#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Host Connected,Stopped,End of File
1,09-02-2022 13:25:22,34.15,4211.20,,,
2,09-02-2022 14:25:22,15.40,12641.28,,,
3,09-02-2022 15:25:22,15.57,12277.76,,,
4,09-02-2022 16:25:22,14.20,412.48,,,
5,09-02-2022 17:25:22,14.54,320.32,,,
6,09-02-2022 18:25:22,15.01,239.60,,,
7,09-02-2022 19:25:22,15.83,121.44,,,
8,09-02-2022 20:25:22,16.21,5.73,,,
9,09-02-2022 21:25:22,16.21,0.00,,,
10,09-02-2022 22:25:22,16.30,0.00,,,
11,09-02-2022 23:25:22,16.51,0.00,,,
12,09-03-2022 00:25:22,16.47,0.00,,,
13,09-03-2022 01:25:22,16.30,0.00,,,
14,09-03-2022 02:25:22,16.08,0.00,,,
15,09-03-2022 03:25:22,15.74,0.00,,,
16,09-03-2022 04:25:22,15.36,0.00,,,
17,09-03-2022 05:25:22,15.06,0.00,,,
18,09-03-2022 06:25:22,14.63,1.32,,,
19,09-03-2022 07:25:22,14.28,99.40,,,
20,09-03-2022 08:25:22,14.11,312.40,,,
21,09-03-2022 09:25:22,13.98,505.60,,,
22,09-03-2022 10:25:22,14.03,573.12,,,
23,09-03-2022 11:25:22,14.20,806.72,,,
24,09-03-2022 12:25:22,16.21,908.16,,,
25,09-03-2022 13:25:22,17.50,1016.64,,,
26,09-03-2022 14:25:22,17.97,1376.64,,,
27,09-03-2022 15:25:22,18.27,2922.24,,,
28,09-03-2022 16:25:22,17.93,756.80,,,
29,09-03-2022 17:25:22,18.40,422.72,,,
30,09-03-2022 18:25:22,19.30,191.04,,,
31,09-03-2022 19:25:22,19.77,43.90,,,
32,09-03-2022 20:25:22,19.56,0.88,,,
33,09-03-2022 21:25:22,19.22,0.00,,,
34,09-03-2022 22:25:22,18.79,0.00,,,
35,09-03-2022 23:25:22,18.32,0.00,,,
36,09-04-2022 00:25:22,17.84,0.00,,,
37,09-04-2022 01:25:22,17.54,0.00,,,
38,09-04-2022 02:25:22,17.29,0.00,,,
39,09-04-2022 03:25:22,17.07,0.00,,,
40,09-04-2022 04:25:22,16.86,0.00,,,
41,09-04-2022 05:25:22,16.81,0.00,,,
42,09-04-2022 06:25:22,16.73,0.00,,,
43,09-04-2022 07:25:22,16.73,13.95,,,
44,09-04-2022 08:25:22,16.94,57.36,,,
45,09-04-2022 09:25:22,17.20,73.68,,,
46,09-04-2022 10:25:22,17.76,133.36,,,
47,09-04-2022 11:25:22,18.36,140.44,,,
48,09-04-2022 12:25:22,18.83,123.56,,,
49,09-04-2022 13:25:22,19.52,169.68,,,
50,09-04-2022 14:25:22,20.07,504.80,,,
51,09-04-2022 15:25:22,20.59,952.96,,,
52,09-04-2022 16:25:22,20.76,105.68,,,
53,09-04-2022 17:25:22,20.85,81.64,,,
54,09-04-2022 18:25:22,20.80,47.04,,,
55,09-04-2022 19:25:22,20.37,5.29,,,
56,09-04-2022 20:25:22,19.82,0.00,,,
57,09-04-2022 21:25:22,19.26,0.00,,,
58,09-04-2022 22:25:22,18.87,0.00,,,
59,09-04-2022 23:25:22,18.53,0.00,,,
60,09-05-2022 00:25:22,18.32,0.00,,,
61,09-05-2022 01:25:22,18.06,0.00,,,
62,09-05-2022 02:25:22,17.89,0.00,,,
63,09-05-2022 03:25:22,17.67,0.00,,,
64,09-05-2022 04:25:22,17.54,0.00,,,
65,09-05-2022 05:25:22,17.37,0.00,,,
66,09-05-2022 06:25:22,17.16,0.00,,,
67,09-05-2022 07:25:22,17.07,13.04,,,
68,09-05-2022 08:25:22,17.03,31.94,,,
69,09-05-2022 09:25:22,16.99,49.74,,,
70,09-05-2022 10:25:22,16.99,27.03,,,
71,09-05-2022 11:25:22,16.60,18.61,,,
72,09-05-2022 12:25:22,16.21,0.66,,,
73,09-05-2022 13:25:22,16.17,16.88,,,
74,09-05-2022 14:25:22,15.87,5.07,,,
75,09-05-2022 15:25:22,16.17,7.06,,,
76,09-05-2022 16:25:22,16.77,15.25,,,
77,09-05-2022 17:25:22,17.16,16.82,,,
78,09-05-2022 18:25:22,17.41,35.52,,,
79,09-05-2022 19:25:22,17.33,8.16,,,
80,09-05-2022 20:25:22,17.16,0.00,,,
81,09-05-2022 21:25:22,16.73,0.00,,,
82,09-05-2022 22:25:22,16.43,0.00,,,
83,09-05-2022 23:25:22,16.21,0.00,,,
84,09-06-2022 00:25:22,16.04,0.00,,,
85,09-06-2022 01:25:22,15.83,0.00,,,
86,09-06-2022 02:25:22,15.57,0.00,,,
87,09-06-2022 03:25:22,15.36,0.00,,,
88,09-06-2022 04:25:22,15.06,0.00,,,
89,09-06-2022 05:25:22,14.71,0.00,,,
90,09-06-2022 06:25:22,14.45,0.00,,,
91,09-06-2022 07:25:22,14.15,5.51,,,
92,09-06-2022 08:25:22,13.94,10.37,,,
93,09-06-2022 09:25:22,14.03,12.57,,,
94,09-06-2022 10:25:22,14.45,43.96,,,
95,09-06-2022 11:25:22,14.93,90.56,,,
96,09-06-2022 12:25:22,15.53,45.22,,,
97,09-06-2022 13:25:22,16.08,50.58,,,
98,09-06-2022 14:25:22,16.73,570.08,,,
99,09-06-2022 15:25:22,17.03,488.48,,,
100,09-06-2022 16:25:22,17.07,94.08,,,
101,09-06-2022 17:25:22,17.03,59.96,,,
102,09-06-2022 18:00:04,,,Logged,,
103,09-06-2022 18:00:21,,,,Logged,Logged
